GFF Download Link	Organellar genome(s)	VEuPathDB Project	Chromosomes	Supercontigs	Contigs	Available for community annotation	BUSCO Genomic	BUSCO Lineage Dataset	BUSCO Protein	Genome Source	Genome Version/Assembly ID	Mega base Pairs	Structural Annotation Source	Structural Annotation Version	Is Reference Strain	Organism	Species	Species NCBI taxon ID	Strain	Strain NCBI taxon ID	CDS Fasta Download Link	Genome Fasta Download Link	Protein Fasta Download Link	Transcript Fasta Download Link	ChIP chip	EC#	ESTs	Genes	GO terms	Microarray	Non Protein coding genes	Orthologs	Popset Sequences	Protein coding genes	Proteomics	Pseudogenes	RNA Seq	RT-PCR	SNPs	TFBS	User comments
http://AmoebaDB.org/common/downloads/Current_Release/EnuttalliP19/gff/data/AmoebaDB-68_EnuttalliP19.gff	no	AmoebaDB	0	5233	0	Apollo	C:  46.3%[S:  45.1%,D:   1.2%],F:   8.6%,M:  45.1%,n:255	eukaryota_odb10	C:  45.5%[S:  45.1%,D:   0.4%],F:   6.3%,M:  48.2%,n:255	GenBank	GCF_000257125.1	14.4	GenBank	Mar 18, 2015	yes	Entamoeba nuttalli P19	Entamoeba nuttalli	412467	P19	1076696	http://AmoebaDB.org/common/downloads/Current_Release/EnuttalliP19/fasta/data/AmoebaDB-68_EnuttalliP19_CDs.fasta	http://AmoebaDB.org/common/downloads/Current_Release/EnuttalliP19/fasta/data/AmoebaDB-68_EnuttalliP19_Genome.fasta	http://AmoebaDB.org/common/downloads/Current_Release/EnuttalliP19/fasta/data/AmoebaDB-68_EnuttalliP19_AnnotatedProteins.fasta	http://AmoebaDB.org/common/downloads/Current_Release/EnuttalliP19/fasta/data/AmoebaDB-68_EnuttalliP19_AnnotatedTranscripts.fasta	N/A	490	N/A	6193	3865	N/A	6	6187	438	6187	N/A	0	N/A	N/A	N/A	N/A	2
http://AmoebaDB.org/common/downloads/Current_Release/AcastellaniiNeff/gff/data/AmoebaDB-68_AcastellaniiNeff.gff	no	AmoebaDB	0	384	0	Apollo	C:  72.5%[S:  72.2%,D:   0.4%],F:   8.6%,M:  18.8%,n:255	eukaryota_odb10	C:  77.6%[S:  76.1%,D:   1.6%],F:   6.3%,M:  16.1%,n:255	GenBank	GCA_000313135.1	42.02	GenBank	Feb 09, 2022	yes	Acanthamoeba castellanii str. Neff	Acanthamoeba castellanii	5755	str. Neff	1257118	http://AmoebaDB.org/common/downloads/Current_Release/AcastellaniiNeff/fasta/data/AmoebaDB-68_AcastellaniiNeff_CDs.fasta	http://AmoebaDB.org/common/downloads/Current_Release/AcastellaniiNeff/fasta/data/AmoebaDB-68_AcastellaniiNeff_Genome.fasta	http://AmoebaDB.org/common/downloads/Current_Release/AcastellaniiNeff/fasta/data/AmoebaDB-68_AcastellaniiNeff_AnnotatedProteins.fasta	http://AmoebaDB.org/common/downloads/Current_Release/AcastellaniiNeff/fasta/data/AmoebaDB-68_AcastellaniiNeff_AnnotatedTranscripts.fasta	N/A	1024	2877	15659	9737	N/A	682	14977	17233	14977	N/A	682	15659	N/A	N/A	N/A	27
http://AmoebaDB.org/common/downloads/Current_Release/MbalamuthiATCC30984/gff/data/AmoebaDB-68_MbalamuthiATCC30984.gff	no	AmoebaDB	0	1925	0	Apollo	C:  65.1%[S:  63.1%,D:   2.0%],F:  12.9%,M:  22.0%,n:255	eukaryota_odb10	C:  79.6%[S:  77.3%,D:   2.4%],F:   4.3%,M:  16.1%,n:255	INSDC	GCA_902651635.1	57.27	TachezyLab	May 05, 2021	yes	Mastigamoeba balamuthi ATCC 30984	Mastigamoeba balamuthi	108607	ATCC 30984	1313166	http://AmoebaDB.org/common/downloads/Current_Release/MbalamuthiATCC30984/fasta/data/AmoebaDB-68_MbalamuthiATCC30984_CDs.fasta	http://AmoebaDB.org/common/downloads/Current_Release/MbalamuthiATCC30984/fasta/data/AmoebaDB-68_MbalamuthiATCC30984_Genome.fasta	http://AmoebaDB.org/common/downloads/Current_Release/MbalamuthiATCC30984/fasta/data/AmoebaDB-68_MbalamuthiATCC30984_AnnotatedProteins.fasta	http://AmoebaDB.org/common/downloads/Current_Release/MbalamuthiATCC30984/fasta/data/AmoebaDB-68_MbalamuthiATCC30984_AnnotatedTranscripts.fasta	N/A	41	3018	14696	7574	N/A	0	14696	37	14696	N/A	0	N/A	N/A	N/A	N/A	N/A
http://AmoebaDB.org/common/downloads/Current_Release/AspSK_2022c/gff/data/AmoebaDB-68_AspSK_2022c.gff	no	AmoebaDB	0	20778	0	N/A	C:   6.3%[S:   6.3%,D:   0.0%],F:  22.4%,M:  71.4%,n:255	eukaryota_odb10	N/A	INSDC	GCA_027944975.1	15.7	N/A	N/A	no	Acanthamoeba sp. SK_2022c	Acanthamoeba sp.	5756	SK_2022c	2919603	http://AmoebaDB.org/common/downloads/Current_Release/AspSK_2022c/fasta/data/AmoebaDB-68_AspSK_2022c_CDs.fasta	http://AmoebaDB.org/common/downloads/Current_Release/AspSK_2022c/fasta/data/AmoebaDB-68_AspSK_2022c_Genome.fasta	http://AmoebaDB.org/common/downloads/Current_Release/AspSK_2022c/fasta/data/AmoebaDB-68_AspSK_2022c_AnnotatedProteins.fasta	http://AmoebaDB.org/common/downloads/Current_Release/AspSK_2022c/fasta/data/AmoebaDB-68_AspSK_2022c_AnnotatedTranscripts.fasta	N/A	N/A	N/A	N/A	N/A	N/A	0	N/A	N/A	0	N/A	0	N/A	N/A	N/A	N/A	N/A
http://AmoebaDB.org/common/downloads/Current_Release/AspSK_2022b/gff/data/AmoebaDB-68_AspSK_2022b.gff	no	AmoebaDB	0	1790	0	N/A	C:  74.5%[S:  72.2%,D:   2.4%],F:  10.6%,M:  14.9%,n:255	eukaryota_odb10	N/A	INSDC	GCA_027943245.1	49.33	N/A	N/A	no	Acanthamoeba sp. SK_2022b	Acanthamoeba sp.	5756	SK_2022b	2919604	http://AmoebaDB.org/common/downloads/Current_Release/AspSK_2022b/fasta/data/AmoebaDB-68_AspSK_2022b_CDs.fasta	http://AmoebaDB.org/common/downloads/Current_Release/AspSK_2022b/fasta/data/AmoebaDB-68_AspSK_2022b_Genome.fasta	http://AmoebaDB.org/common/downloads/Current_Release/AspSK_2022b/fasta/data/AmoebaDB-68_AspSK_2022b_AnnotatedProteins.fasta	http://AmoebaDB.org/common/downloads/Current_Release/AspSK_2022b/fasta/data/AmoebaDB-68_AspSK_2022b_AnnotatedTranscripts.fasta	N/A	N/A	N/A	N/A	N/A	N/A	0	N/A	N/A	0	N/A	0	N/A	N/A	N/A	N/A	N/A
http://AmoebaDB.org/common/downloads/Current_Release/AspSK_2022a/gff/data/AmoebaDB-68_AspSK_2022a.gff	no	AmoebaDB	0	2108	0	N/A	C:  71.0%[S:  67.8%,D:   3.1%],F:  14.5%,M:  14.5%,n:255	eukaryota_odb10	N/A	INSDC	GCA_027943295.1	45.79	N/A	N/A	no	Acanthamoeba sp. SK_2022a	Acanthamoeba sp.	5756	SK_2022a	2919605	http://AmoebaDB.org/common/downloads/Current_Release/AspSK_2022a/fasta/data/AmoebaDB-68_AspSK_2022a_CDs.fasta	http://AmoebaDB.org/common/downloads/Current_Release/AspSK_2022a/fasta/data/AmoebaDB-68_AspSK_2022a_Genome.fasta	http://AmoebaDB.org/common/downloads/Current_Release/AspSK_2022a/fasta/data/AmoebaDB-68_AspSK_2022a_AnnotatedProteins.fasta	http://AmoebaDB.org/common/downloads/Current_Release/AspSK_2022a/fasta/data/AmoebaDB-68_AspSK_2022a_AnnotatedTranscripts.fasta	N/A	N/A	N/A	N/A	N/A	N/A	0	N/A	N/A	0	N/A	0	N/A	N/A	N/A	N/A	N/A
http://AmoebaDB.org/common/downloads/Current_Release/EhistolyticaHM1IMSS/gff/data/AmoebaDB-68_EhistolyticaHM1IMSS.gff	no	AmoebaDB	0	1496	0	Apollo	C:  48.6%[S:  43.5%,D:   5.1%],F:   7.1%,M:  44.3%,n:255	eukaryota_odb10	C:  52.5%[S:  46.3%,D:   6.3%],F:   5.1%,M:  42.4%,n:255	GenBank	GCA_000208925.2	20.8	JCVI	Nov 27, 2009	yes	Entamoeba histolytica HM-1:IMSS	Entamoeba histolytica	5759	HM-1:IMSS	294381	http://AmoebaDB.org/common/downloads/Current_Release/EhistolyticaHM1IMSS/fasta/data/AmoebaDB-68_EhistolyticaHM1IMSS_CDs.fasta	http://AmoebaDB.org/common/downloads/Current_Release/EhistolyticaHM1IMSS/fasta/data/AmoebaDB-68_EhistolyticaHM1IMSS_Genome.fasta	http://AmoebaDB.org/common/downloads/Current_Release/EhistolyticaHM1IMSS/fasta/data/AmoebaDB-68_EhistolyticaHM1IMSS_AnnotatedProteins.fasta	http://AmoebaDB.org/common/downloads/Current_Release/EhistolyticaHM1IMSS/fasta/data/AmoebaDB-68_EhistolyticaHM1IMSS_AnnotatedTranscripts.fasta	N/A	693	1285	8333	4664	8302	132	8201	810	8201	3542	105	8333	N/A	4864	N/A	681
http://AmoebaDB.org/common/downloads/Current_Release/DdiscoideumAX4/gff/data/AmoebaDB-68_DdiscoideumAX4.gff	yes	AmoebaDB	7	33	0	Apollo	C:  93.7%[S:  90.2%,D:   3.5%],F:   2.0%,M:   4.3%,n:255	eukaryota_odb10	C:  93.7%[S:  89.8%,D:   3.9%],F:   1.6%,M:   4.7%,n:255	INSDC	GCF_000004695.1	34.2	RefSeq	Jan 29, 2010	yes	Dictyostelium discoideum AX4	Dictyostelium discoideum	44689	AX4	352472	http://AmoebaDB.org/common/downloads/Current_Release/DdiscoideumAX4/fasta/data/AmoebaDB-68_DdiscoideumAX4_CDs.fasta	http://AmoebaDB.org/common/downloads/Current_Release/DdiscoideumAX4/fasta/data/AmoebaDB-68_DdiscoideumAX4_Genome.fasta	http://AmoebaDB.org/common/downloads/Current_Release/DdiscoideumAX4/fasta/data/AmoebaDB-68_DdiscoideumAX4_AnnotatedProteins.fasta	http://AmoebaDB.org/common/downloads/Current_Release/DdiscoideumAX4/fasta/data/AmoebaDB-68_DdiscoideumAX4_AnnotatedTranscripts.fasta	N/A	10	6518	13963	9372	N/A	672	13291	4021	13291	N/A	163	13963	N/A	N/A	N/A	1
http://AmoebaDB.org/common/downloads/Current_Release/EdisparSAW760/gff/data/AmoebaDB-68_EdisparSAW760.gff	no	AmoebaDB	0	3312	0	Apollo	C:  48.6%[S:  42.7%,D:   5.9%],F:   6.3%,M:  45.1%,n:255	eukaryota_odb10	C:  52.2%[S:  46.3%,D:   5.9%],F:   4.7%,M:  43.1%,n:255	GenBank	GCA_000209125.2	22.96	JCVI	Nov 27, 2009	yes	Entamoeba dispar SAW760	Entamoeba dispar	46681	SAW760	370354	http://AmoebaDB.org/common/downloads/Current_Release/EdisparSAW760/fasta/data/AmoebaDB-68_EdisparSAW760_CDs.fasta	http://AmoebaDB.org/common/downloads/Current_Release/EdisparSAW760/fasta/data/AmoebaDB-68_EdisparSAW760_Genome.fasta	http://AmoebaDB.org/common/downloads/Current_Release/EdisparSAW760/fasta/data/AmoebaDB-68_EdisparSAW760_AnnotatedProteins.fasta	http://AmoebaDB.org/common/downloads/Current_Release/EdisparSAW760/fasta/data/AmoebaDB-68_EdisparSAW760_AnnotatedTranscripts.fasta	N/A	2072	79	8748	5277	N/A	4	8744	787	8744	N/A	4	8748	N/A	N/A	N/A	29
http://AmoebaDB.org/common/downloads/Current_Release/EinvadensIP1/gff/data/AmoebaDB-68_EinvadensIP1.gff	no	AmoebaDB	0	1144	0	Apollo	C:  43.9%[S:  43.1%,D:   0.8%],F:   9.8%,M:  46.3%,n:255	eukaryota_odb10	C:  46.3%[S:  45.9%,D:   0.4%],F:   9.8%,M:  43.9%,n:255	GenBank	GCA_000330505.1	40.88	GenBank	Mar 19, 2015	yes	Entamoeba invadens IP1	Entamoeba invadens	33085	IP1	370355	http://AmoebaDB.org/common/downloads/Current_Release/EinvadensIP1/fasta/data/AmoebaDB-68_EinvadensIP1_CDs.fasta	http://AmoebaDB.org/common/downloads/Current_Release/EinvadensIP1/fasta/data/AmoebaDB-68_EinvadensIP1_Genome.fasta	http://AmoebaDB.org/common/downloads/Current_Release/EinvadensIP1/fasta/data/AmoebaDB-68_EinvadensIP1_AnnotatedProteins.fasta	http://AmoebaDB.org/common/downloads/Current_Release/EinvadensIP1/fasta/data/AmoebaDB-68_EinvadensIP1_AnnotatedTranscripts.fasta	N/A	1486	N/A	12007	6188	N/A	10	11997	706	11997	N/A	10	12007	N/A	N/A	N/A	18
